Thời gian,,Lớp,Môn học,Bài dạy,Tình trạng trang thiết bị,GV kí
Ngày,Tiết,,,,,3
Thứ 2,1,'3/1,,"Bài 3.1: Gõ các dấu sắc, huyền, hỏi, ngã, nặng",,
(…/…),2,'3/1,,"Bài 3: Gõ các dấu sắc, huyền, hỏi, ngã, nặng",,
,3,'3/2,,"Bài 3: Gõ các dấu sắc, huyền, hỏi, ngã, nặng",,
,4,'3/3,,"Bài 3: Gõ các dấu sắc, huyền, hỏi, ngã, nặng",,
,5,'4/1,,"Bài 3: Gõ các dấu sắc, huyền, hỏi, ngã, nặng",,
,1,,,,,
,2,,,,,
Thứ 3,1,'3/5,,"Bài 3: Gõ các dấu sắc, huyền, hỏi, ngã, nặng",,
(…/…),2,'3/6,,"Bài 3: Gõ các dấu sắc, huyền, hỏi, ngã, nặng",,
,3,'3/7,,"Bài 3: Gõ các dấu sắc, huyền, hỏi, ngã, nặng",,
,4,'4/5,,Bài 01: Những gì em đã biết,,
,5,'4/6,,Bài 01: Những gì em đã biết,,
,1,,,,,
,2,,,,,
Thứ 4,1,'4/1,,Bài 01: Những gì em đã biết,,
(…/…),2,'4/2,,Bài 01: Những gì em đã biết,,
,3,'4/3,,Bài 01: Những gì em đã biết,,
,4,'4/4,,Bài 01: Những gì em đã biết,,
,5,'4/7,,Bài 01: Những gì em đã biết,,
,2,,,,,
,3,,,,,
Thứ 5,1,'5/7,,Bài 3: Thủ tục trong Logo,,
(…/…),2,'5/4,,Bài 3: Thủ tục trong Logo,,
,3,'5/2,,Bài 3: Thủ tục trong Logo,,
,4,'5/3,,Bài 3: Thủ tục trong Logo,,
,5,'4/8,,Bài 01: Những gì em đã biết,,
,1,,,,,
,2,,,,,
Thứ 6,1,'5/6,,Bài 3: Thủ tục trong Logo,,
(…/…),2,'5/5,,Bài 3: Thủ tục trong Logo,,
,3,'5/1,,Bài 3: Thủ tục trong Logo,,
,4,,,,,
,1,,,,,
,2,,,,,
,3,,,,,
Thứ 7,,,,,,
(…/…),,,,,,
CN,,,,,,
(…/…),,,,,,
Ngày,Tiết,,,,,